ID,Sex,Age,Height,Weight,ColdSens,ColdExp,Workhr,Coffeeintake,Vote_time,therm_sens,therm_pref,location,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480,sd.Solar_480,mean.hr_5,grad.hr_5,sd.hr_5,mean.hr_15,grad.hr_15,sd.hr_15,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_5,grad.WristT_5,sd.WristT_5,mean.WristT_15,grad.WristT_15,sd.WristT_15,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.AnkleT_5,grad.AnkleT_5,sd.AnkleT_5,mean.AnkleT_15,grad.AnkleT_15,sd.AnkleT_15,mean.AnkleT_60,grad.AnkleT_60,sd.AnkleT_60,mean.PantT_5,grad.PantT_5,sd.PantT_5,mean.PantT_15,grad.PantT_15,sd.PantT_15,mean.PantT_60,grad.PantT_60,sd.PantT_60,mean.act_5,grad.act_5,sd.act_5,mean.act_15,grad.act_15,sd.act_15,mean.act_60,grad.act_60,sd.act_60
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 15:03,2.1,-1,-1,26.75,-0.018857143,0.207364414,26.75,-0.018857143,0.207364414,37.16666667,0.04,0.752772653,37.16666667,0.04,0.752772653,1.2,6.67E-13,0.464758002,1.2,6.67E-13,0.464758002,875.6666667,-1.531428571,14.43144714,875.6666667,-1.531428571,14.43144714,106.8471761,5.182829861,10.29513965,102.1033835,2.759826943,9.771524978,97.008,0.715230542,11.85627954,34.37166667,-0.138,0.318961858,33.759375,0.129338235,0.729497258,33.32636364,0.041955214,0.731380622,33.13666667,0.08,0.226156288,33.350625,-0.039720588,0.255954911,33.31515152,0.005925802,0.280458567,25.855,0.518,1.064513974,25.359375,0.071632353,0.773274154,26.07757576,-0.036493984,1.139643668,8.082102449,-1.07E-05,5.77E-06,9.084000805,-0.065192246,0.42341455,9.062081612,0.003854827,0.391037938
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 15:35,0,0,1,26.05714286,-0.042142857,0.461364436,26.05714286,-0.042142857,0.461364436,39.14285714,0.071428571,1.069044968,39.14285714,0.071428571,1.069044968,1.071428571,-0.038571429,0.442396073,1.071428571,-0.038571429,0.442396073,816,-1.935714286,20.92048438,816,-1.935714286,20.92048438,84.24584718,0.585069635,4.903674578,85.24972253,-0.254163519,4.556413359,88.4390625,-0.409674438,6.402549254,36.04,-0.015428571,0.032863353,35.96,0.017264706,0.0958471,35.609375,0.047969208,0.520043035,32.73333333,-0.072571429,0.150687314,32.774375,-0.014955882,0.118544998,32.96375,-0.024028592,0.25029982,25.72,0.008571429,0.070142712,25.7075,-0.004235294,0.078612976,25.6646875,0.002230572,0.127683691,NA,NA,NA,NA,NA,NA,9.155796861,0.072056279,0.508224855
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 16:10,-0.3,0,1,25.35714286,0.015,0.198805959,25.35714286,0.015,0.198805959,40,-0.007142857,0.577350269,40,-0.007142857,0.577350269,0.471428571,-0.010714286,0.188982237,0.471428571,-0.010714286,0.188982237,739.2857143,-2.414285714,26.10053822,739.2857143,-2.414285714,26.10053822,77.11960133,0.804945986,2.786691199,78.04439512,-0.168883551,3.449029525,80.6747619,-0.275374795,5.517474617,34.15166667,-0.109428571,0.208270657,34.364375,-0.065514706,0.432033467,35.06657143,-0.070484594,0.763509478,32.4,-0.018857143,0.058991525,32.29875,0.011617647,0.104554611,32.37771429,-0.007565826,0.127234977,26.61666667,0.045142857,0.120940757,26.028125,0.098161765,0.499082074,25.87028571,0.018613445,0.379918611,NA,NA,NA,9.005184346,0.054771142,0.202822607,9.005184346,0.054771142,0.202822607
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 16:36,-0.1,0,1,26.26,0.02,0.167332005,26.26,0.02,0.167332005,40.4,0.04,0.547722558,40.4,0.04,0.547722558,0.5,0.01,0.223606798,0.5,0.01,0.223606798,662.8,-2.86,22.68700068,662.8,-2.86,22.68700068,79.34883721,-1.291747156,4.931656954,82.73251942,-0.343253985,7.761195296,80.74487179,0.175034968,7.134035136,34.32833333,-0.142571429,0.376266749,34.035625,0.052779412,0.399482478,33.90615385,0.032225641,0.365328093,32.12,-0.030857143,0.072663608,32.10625,-0.006911765,0.107695559,32.18076923,-0.011302564,0.13154233,24.95,0.102285714,0.193390796,25.18375,-0.083647059,0.607057109,25.59615385,-0.078030769,0.716703994,NA,NA,NA,8.905940876,-0.348450215,0.302029585,8.906030564,-0.148026434,0.301901595
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 16:57,-0.1,0,1,26.15,-0.036,0.238047614,26.15,-0.036,0.238047614,42,0.04,0.816496581,42,0.04,0.816496581,0.525,-0.01,0.25,0.525,-0.01,0.25,595.75,-2.9,18.7860764,595.75,-2.9,18.7860764,80.72425249,-1.055501529,6.77645752,77.57380688,0.629960797,6.298354445,77.51666667,0.258143812,5.882935973,34.27666667,0.076571429,0.289182757,34.85375,-0.069911765,0.5334026,34.72571429,-0.00025974,0.538568208,31.50166667,0.01,0.04833908,31.6,-0.019588235,0.107393358,31.6752381,-0.025558442,0.169429013,25.49,-0.008571429,0.024494897,25.49625,0.003882353,0.058409474,25.45095238,0.012025974,0.100294804,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 17:17,1.7,-1,-1,26,0.016,0.141421356,26,0.016,0.141421356,42.75,0.06,0.5,42.75,0.06,0.5,0.4,6.66E-18,0,0.4,6.66E-18,0,537.75,-2.94,18.9802529,537.75,-2.94,18.9802529,74.29900332,0.747838331,4.886406212,76.90566038,-0.826771929,8.650432303,78.98833333,-0.884323947,9.714087715,34.72166667,0.138571429,0.266114011,34.46375,0.026588235,0.36476248,34.5085,0.002684211,0.344143101,32.41,0.013714286,0.030983867,32.21,0.056205882,0.336352989,32.065,0.063714286,0.424406707,27.14666667,-0.046857143,0.094798031,26.680625,0.120044118,0.676111123,26.353,0.139353383,0.907803016,8.860131964,-0.236527959,0.852248975,8.85994205,-0.058897667,0.852080623,8.859847402,-0.027460099,0.851996374
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 18:14,1,-1,1,26.93636364,0.009818182,0.220330331,26.93636364,0.009818182,0.220330331,41.45454545,-0.032727273,1.12815215,41.45454545,-0.032727273,1.12815215,0.554545455,0.013818182,0.361562267,0.554545455,0.013818182,0.361562267,401.3636364,-3.443636364,60.16024057,401.3636364,-3.443636364,60.16024057,79.21262458,-4.089388572,9.462274573,81.87569367,-0.577067609,6.39462254,82.73625731,-0.171321087,8.832689823,33.91166667,-0.213428571,0.408285031,34.055625,-0.024308824,0.299999306,34.81263158,-0.026575707,0.611092483,32.43,0.010285714,0.061967734,32.365625,0.017338235,0.100926954,32.27877193,0.004168395,0.2258956,25.825,-0.006,0.038340579,25.64125,0.039411765,0.207103034,25.47210526,0.018421053,0.776511744,5.059664218,NA,NA,5.059666639,-2.51E-07,9.46E-06,8.837152352,-0.004004362,1.224561641
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 19:09,2.2,-1,1,25.10909091,-0.031818182,0.738179579,25.10909091,-0.031818182,0.738179579,46.90909091,0.121818182,2.46797672,46.90909091,0.121818182,2.46797672,0.427272727,-0.021818182,0.440660661,0.427272727,-0.021818182,0.440660661,102.0909091,-3.476363636,84.73305677,102.0909091,-3.476363636,84.73305677,82.24916944,-1.874150184,5.233326632,81.80244173,-0.051459945,4.131832339,79.36787879,0.133179176,6.530210419,35.23166667,-0.044285714,0.101669399,35.07625,0.0345,0.202513374,34.59963636,0.036260462,0.800855939,32.41,0.020571429,0.061967734,32.385625,0.003308824,0.061206617,32.42090909,-0.004886003,0.140873896,24.84666667,-0.265142857,0.53615918,25.56,-0.128264706,0.664078309,26.02909091,-0.016323232,0.485875585,4.529999007,NA,NA,4.529999007,NA,NA,10.09552596,-0.203069128,1.821671787
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 20:27,1.5,-1,1,23.82727273,-0.01227209,0.471361664,24.20666667,-0.025875217,0.765755152,47.90909091,-0.098457223,3.300137738,47.33333333,-0.006282496,3.199702367,0.218181818,0.006732118,0.208893187,0.266666667,0.00017331,0.195180015,9.454545455,-0.524403927,10.15247395,19.66666667,-0.757365685,20.10212024,83.67109635,-0.052883325,2.688517893,91.81687014,-1.541741007,8.082820161,90.06498195,0.13186833,6.575180484,34.33833333,0.019142857,0.131212296,34.70625,-0.086235294,0.462311223,35.03311475,-0.001106293,0.51516839,34.12833333,0.01,0.02857738,34.105,0.005147059,0.048442406,33.47245902,0.031751983,0.595129274,24.305,0.147714286,0.282046096,23.865,0.073411765,0.405446256,24.24557377,-0.023629297,0.781540199,8.570367804,-0.083274791,0.325701333,8.570400461,-0.083239418,0.325712022,8.64182133,-0.009646817,0.330426507
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 21:37,-0.1,0,1,23.39090909,-0.021695594,0.40854509,23.49230769,-0.020882986,0.448072796,44.45454545,0.077303071,1.507556723,44.15384615,0.069562096,1.573009528,0.345454545,-0.011949266,0.332757078,0.392307692,-0.010617373,0.340248778,0,0,0,0,0,0,84.38870432,0.220826824,3.913021678,84.20421754,0.25524042,4.829587511,82.76773296,0.064178814,6.565475565,34.50666667,-0.082857143,0.158198188,34.51625,-0.007764706,0.108926581,34.51770492,-0.003952935,0.207696842,32.83666667,-0.041714286,0.114833212,32.8525,-0.015735294,0.140023807,33.58393443,-0.025494447,0.498943145,25.41,-0.008571429,0.024494897,25.3975,-0.001235294,0.037148351,25.69918033,-0.002474881,0.440050357,NA,NA,NA,NA,NA,NA,8.98581211,-0.025811705,0.658354399
3,Male,31,1.7,55,3.5,1.6,4,0,5/1/2017 23:14,1,-1,1,23.43333333,-0.008811189,0.177525073,23.47368421,-0.001964912,0.295976923,42,-0.033566434,1.477097892,42.36842105,-0.030526316,1.706540566,0.558333333,0.005804196,0.302890119,0.652631579,-0.002842105,0.442679243,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,75.64575214,0.027072187,5.629253469,28.94166667,-0.15,0.281383487,30.400625,-0.341073529,1.748170353,33.65295082,-0.093164463,2.147947349,28.72833333,-0.086,0.16216247,29.57125,-0.198352941,1.034607011,31.64639344,-0.056182443,1.354223065,25.27,-0.006857143,0.030983867,25.40625,-0.030176471,0.151343979,25.54245902,-0.005497091,0.119717107,NA,NA,NA,NA,NA,NA,9.358387303,0.00644596,0.897510144
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 0:17,0.1,-1,1,23.15454545,-0.007283312,0.225227158,23.15833333,-0.006060038,0.21514618,38.81818182,0.020957309,1.662418829,38.91666667,0.008818011,1.621353718,0.781818182,-0.007011643,0.397034462,0.75,-0.0030394,0.394277244,0,0,0,0,0,0,65.10299003,0.909418935,4.382467839,61.04743833,1.883019669,6.165002111,61.04743833,1.883019669,6.165002111,29.21166667,-0.042,0.095585912,29.085625,0.007808824,0.168482195,29.10540984,-0.016821787,0.77982813,29.05833333,-0.159142857,0.3647145,29.130625,-0.024132353,0.293677119,29.32770492,-0.014812797,0.452888483,25.06333333,-0.016,0.036147845,25.0925,-0.004941176,0.031304952,25.15163934,-0.002497091,0.051999369,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 9:06,-0.4,0,1,20.60833333,0.034895105,0.644498866,20.38791209,-0.003822601,0.790757044,50.16666667,-0.090909091,1.696699113,45.92307692,0.022338948,3.287115484,1.55,0.022097902,0.514339824,0.692307692,0.000216058,0.607770199,426,3.48951049,62.9834033,72.86813187,0.767191478,152.6127422,83.37728938,6.035980631,13.20234761,87.50163399,-1.617100154,27.51732079,66.11111111,0.58227293,17.8732608,32.03,-0.005142857,0.024494897,31.61875,0.069382353,0.370888573,32.56344262,-0.051734003,1.5214115,30.6,-0.160571429,0.315087289,30.715,-0.026205882,0.234833274,32.52180328,-0.060794818,1.391957265,21.89666667,-0.050285714,0.284792322,21.40875,0.097588235,0.530180787,20.69377049,0.020468535,0.505922141,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 9:43,1.7,-1,-1,21.94285714,0.035714286,0.386683087,21.94285714,0.035714286,0.386683087,47,-0.042857143,0.816496581,47,-0.042857143,0.816496581,1.714285714,-0.025,0.470561974,1.714285714,-0.025,0.470561974,579.1428571,2.842857143,30.74317578,579.1428571,2.842857143,30.74317578,112.1275168,-8.518642561,13.37986255,116.4117647,-0.320226324,12.11814798,105.2818182,0.823191319,13.55079496,31.01166667,-0.067142857,0.300560587,30.8925,-0.005235294,0.346400539,31.29756757,-0.036960645,0.490075988,26.34,0.359428571,0.742913185,25.71375,0.090382353,0.693203914,27.43216216,-0.154364628,1.942398482,22.96,-0.257714286,0.610606256,22.050625,0.171279412,0.982483036,21.13243243,0.064203414,1.198870777,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 10:04,0.6,-1,1,22.725,0.022,0.15,22.725,0.022,0.15,46,0,1.414213562,46,0,1.414213562,2,-0.032,0.230940108,2,-0.032,0.230940108,654.25,2.74,17.74589154,654.25,2.74,17.74589154,88.76079734,-1.474290995,3.359949111,105.8463277,-3.289793981,19.71158273,101.0192926,-0.212810351,18.36664088,32.22666667,0.234857143,0.446527341,32.655,-0.127911765,0.918513292,32.71809524,-0.063363636,0.889154762,30.07,0.008571429,0.045166359,29.466875,0.102779412,0.599663447,29.36619048,0.069857143,0.570039263,24.535,0.134,0.251455762,23.623125,0.182779412,0.904453564,23.23809524,0.165506494,1.055715961,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 10:45,0.4,0,1,22.98888889,-0.001,0.220479276,22.98888889,-0.001,0.220479276,50.11111111,0.14,2.204792759,50.11111111,0.14,2.204792759,0.988888889,-0.000333333,0.378960567,0.988888889,-0.000333333,0.378960567,734.4444444,2.396666667,32.84094666,734.4444444,2.396666667,32.84094666,81.04318937,-0.50705155,2.049746763,81.58157603,-0.028399093,3.3673686,85.87059859,-0.294365928,9.265541907,33.21333333,-0.052,0.115181017,33.320625,-0.016720588,0.133689628,33.3397561,0.001602787,0.169048629,29.9,-0.008571429,0.024494897,29.905,-0.004058824,0.0464758,30.01487805,-0.009989547,0.133400186,26.18,0.036,0.070142712,26.071875,0.041955882,0.287151963,25.63439024,0.032529617,0.43771594,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 11:35,0.9,-1,1,23.8,0.017470588,0.324037035,23.8,0.017470588,0.324037035,49.77777778,-0.019705882,1.394433378,49.77777778,-0.019705882,1.394433378,0.988888889,-0.008264706,0.378960567,0.988888889,-0.008264706,0.378960567,837.4444444,1.691176471,26.03896653,837.4444444,1.691176471,26.03896653,75.7807309,2.018965479,5.8205178,74.52719201,0.035270001,5.102568394,80.52949853,-0.273319521,10.49933057,33.465,0.059142857,0.115021737,33.095,0.075029412,0.369197328,33.1258,-0.003793998,0.287580264,29.94666667,-0.052,0.115181017,29.989375,-0.018073529,0.14116037,30.3194,-0.023238896,0.430435992,25.71,0.030857143,0.061967734,25.403125,0.079367647,0.441493205,25.5626,-0.024057143,0.631812456,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 12:12,0.4,0,1,25.22857143,0.056428571,0.61295537,25.22857143,0.056428571,0.61295537,46.71428571,-0.114285714,1.603567451,46.71428571,-0.114285714,1.603567451,0.814285714,0.016428571,0.318478526,0.814285714,0.016428571,0.318478526,903.7142857,1.535714286,16.829679,903.7142857,1.535714286,16.829679,70.89090909,5.370297931,28.13787271,71.01183432,0.727221516,20.83512962,73.57983193,-0.193342171,14.53350631,32.87333333,0.043428571,0.102502033,32.554375,0.054838235,0.332083699,32.88648649,-0.02167615,0.38947412,30.05,-0.015428571,0.032863353,30.11,-0.007058824,0.069282032,29.92486486,0.016412992,0.223241544,26.075,0.235142857,0.539175296,25.80875,0.021794118,0.472226993,25.98567568,0.008217165,0.786036261,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 12:37,0.8,-1,-1,25.86,0.014,0.207364414,25.86,0.014,0.207364414,46.4,0.08,1.516575089,46.4,0.08,1.516575089,1.14,0.024,0.219089023,1.14,0.024,0.219089023,923.8,0.64,5.069516742,923.8,0.64,5.069516742,108.2781457,6.706865446,14.91538755,95.03726708,2.826060651,26.53332379,87.34647113,1.813436399,27.13214408,33.90166667,0.051142857,0.174289032,33.67625,0.034794118,0.229197877,33.4964,0.0379,0.311352962,31.055,0.139142857,0.264026514,30.931875,-0.004044118,0.389926809,30.5572,0.0563,0.616269151,27.40833333,0.033428571,0.140771683,26.273125,0.150867647,0.924003743,26.136,0.056438462,0.767544787,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Male,31,1.7,55,3.5,1.6,4,0,5/2/2017 13:09,0.5,-1,1,26.53333333,0.020571429,0.250333111,26.53333333,0.020571429,0.250333111,44.33333333,-0.034285714,0.516397779,44.33333333,-0.034285714,0.516397779,1.166666667,0.013714286,0.206559112,1.166666667,0.013714286,0.206559112,940.1666667,0.485714286,5.036533199,940.1666667,0.485714286,5.036533199,87.88039867,1.297898836,3.249458597,85.44839068,0.381863955,3.337472458,86.77784692,-0.420615008,10.21364833,34.40166667,-0.040285714,0.106661458,34.215,0.054470588,0.341623575,33.4284375,0.070507698,0.982232839,32.77666667,-0.052,0.114833212,32.183125,0.113338235,0.58519192,31.881875,0.03763563,0.53245286,25.62666667,0.053714286,0.102502033,25.334375,0.049632353,0.251289176,25.425625,-0.024890029,0.800479443,NA,NA,NA,NA,NA,NA,NA,NA,NA
